,종목명,업종명
252,덕양산업,운수장비
253,덴티움,의료정밀
254,도화엔지니어링,서비스업
255,동국홀딩스,철강금속
256,동남합성,화학
257,동방,운수창고업
258,동방아그로,화학
259,동부건설,건설업
260,동서,유통업
261,동성제약,의약품
262,동성케미컬,서비스업
263,동아쏘시오홀딩스,기타금융
264,동아에스티,의약품
265,동아지질,건설업
266,동아타이어,화학
267,동양,비금속광물
268,동양고속,운수창고업
269,동양생명,보험
270,동양철관,철강금속
271,동양피스톤,운수장비
272,동원F&B,음식료품
273,동원금속,운수장비
274,동원산업,기타금융
275,동원수산,"농업, 임업 및 어업"
276,동원시스템즈,화학
277,동일고무벨트,화학
278,동일산업,철강금속
279,동일제강,철강금속
280,동화약품,의약품
281,두산,기타금융
282,두산밥캣,기계
283,두산에너빌리티,기계
284,두산퓨얼셀,전기전자
285,두올,운수장비
286,드림텍,전기전자
287,디씨엠,철강금속
288,디아이,의료정밀
289,디아이씨,운수장비
290,디와이,기타금융
291,디와이파워,기계
292,락앤락,화학
293,롯데관광개발,서비스업
294,롯데렌탈,서비스업
295,롯데손해보험,보험
296,롯데쇼핑,유통업
297,롯데에너지머티리얼즈,전기전자
298,롯데웰푸드,음식료품
299,롯데이노베이트,서비스업
300,롯데정밀화학,화학
301,롯데지주,기타금융
302,롯데칠성,음식료품
303,롯데케미칼,화학
304,롯데하이마트,유통업
305,마니커,음식료품
306,만호제강,철강금속
307,메리츠금융지주,기타금융
308,메타랩스,섬유의복
309,명문제약,의약품
310,명신산업,운수장비
311,모나리자,종이목재
312,모나미,유통업
313,모토닉,운수장비
314,무림P&P,종이목재
315,무림페이퍼,종이목재
316,무학,음식료품
317,문배철강,철강금속
318,미래산업,의료정밀
319,미래아이앤지,서비스업
320,미래에셋생명,보험
321,미래에셋증권,증권
322,미원상사,화학
323,미원에스씨,화학
324,미원홀딩스,기타금융
325,미원화학,화학
326,미창석유,화학
327,방림,섬유의복
328,백광산업,화학
329,백산,화학
330,범양건영,건설업
331,벽산,비금속광물
332,보락,화학
333,보령,의약품
334,보해양조,음식료품
335,부광약품,의약품
336,부국증권,증권
337,부국철강,철강금속
338,부산산업,비금속광물
339,부산주공,운수장비
340,비비안,섬유의복
341,비상교육,서비스업
342,비에이치,전기전자
343,비케이탑스,서비스업
344,빙그레,음식료품
345,사조대림,음식료품
346,사조동아원,음식료품
347,사조산업,"농업, 임업 및 어업"
348,사조씨푸드,음식료품
349,사조오양,음식료품
350,삼부토건,건설업
351,삼성E&A,서비스업
352,삼성SDI,전기전자
353,삼성공조,운수장비
354,삼성물산,유통업
355,삼성바이오로직스,의약품
356,삼성생명,보험
357,삼성에스디에스,서비스업
358,삼성전기,전기전자
359,삼성전자,전기전자
360,삼성제약,의약품
361,삼성중공업,운수장비
362,삼성증권,증권
363,삼성출판사,서비스업
364,삼성카드,기타금융
365,삼성화재,보험
366,삼아알미늄,철강금속
367,삼양사,음식료품
368,삼양식품,음식료품
369,삼양통상,기타제조업
370,삼양패키징,화학
371,삼양홀딩스,기타금융
